behavior,legacy_opnet,current_ns3,matlab_classification,matlab_evidence,decision_or_backlog,tranche
signal_interference_acquisition,legacy_source,current_PR50_rejected_preamble_fix,Unresolved,owner_PHY_regressions_and_9_PHY_MAC_bridge_methods_passed_in_145of145_rerun,T2_duty_cycle_integrated_network_differential_still_pending,1
closure_callback_timing,immediate_source_drop,immediate_tx_time_drop,Intentional MATLAB implementation difference,completion_timed_callback_for_uniform_accounting,Record_difference_before_event_parity_comparison,1
physical_vs_application_accounting,overheard_frames_filtered_by_HOP,physical_receive_then_HOP_filter,Unresolved,owner_145of145_suite_and_nine_MAC_HOP_summaries_passed_unique_delivery_and_custody_gates,HOP_filters_addressed_members_full_network_metric_differential_pending,1
MAC_acquisition_queues_slots_reservations,legacy_source,current_PR50_acquisition_fix,Unresolved,owner_all_18_MAC_unit_9_bridge_and_15_integrated_methods_passed_in_145of145_rerun,Portable_functional_gate_accepted_equivalent_network_comparison_pending,2
HOP_ACK_DACK_retries_window,legacy_source,current_PR50_ACK_window_fix,Unresolved,owner_all_20_HOP_unit_and_15_integrated_methods_passed_ACK_DATA_loss_and_DACK_exports_drained,Portable_functional_gate_accepted_declared_policy_differences_and_network_parity_remain,2
MAC_ack_repetition_concat_preambles,source_profiles,current_ACK_coalescing_and_five_transmissions,Unresolved,owner_all_18_MAC_methods_passed_reliable_fixture_6_DATA_plus_30_ACK_transmissions,Checked_behavior_passes_source_intent_network_control_overhead_parity_pending,2
MAC_total_aggregate_cap,ACK_only_packing_quirk,DATA_stop_can_leave_more_than_16_ACK_members,Intentional MATLAB implementation difference,strict_16_total_members_in_MAC_candidate,Bounded_uniform_packing_record_before_control_overhead_comparison,2
HOP_overload_accounting,queue_overflow_loss_and_bookkeeping_retention,source_can_retain_pending_without_resend_entry,Intentional MATLAB implementation difference,owner_MAC_rejection_resend_bound_custody_refusal_tests_passed_queue_fixture_18_explicit_drops,Intentional_transactional_policy_accepted_avoid_stranded_capacity,2
HOP_queued_retry_timer,source_timer_scan_policy,provisional_enqueue_timestamp_can_trigger_before_retry_TX,Intentional MATLAB implementation difference,owner_retry_waits_for_actual_sent_test_passed_in_145of145_rerun,Actual_transmission_retry_ownership_retained_source_stale_scan_difference_explicit,2
HOP_adaptive_link_control,source_adaptive_rate_power,ACK_feedback_and_link_cost_selection,Unresolved,Owner_R2025a_289of289_including_source_link_cost_vectors_passed,Local_limits_and_PHY_metrics_verified_full_ACK_feedback_adaptation_still_partial,3
modeled_frame_and_ACK_window_serialization,eleven_legacy_packet_layouts,current_modeled_fields_and_logical_16bit_sequence,Unresolved,owner_R2025a_all_11_TestHopFrames_methods_passed_original_envelope_smoke_passed,Checked_modeled_layouts_only_no_OTA_crypto_or_full_network_claim,2
fixed_path_relay_custody,autonomous_NWK_routes,autonomous_NWK_routes,Intentional MATLAB implementation difference,owner_15_integrated_methods_passed_relay_6of6_with_12_hop_ACKs_and_zero_pending,Portable_T2_accepted_autonomous_route_provider_in_T3,2
forwarding_queue_bound,source_NWK_queue,unsent_NWK_queue_bound,Intentional MATLAB implementation difference,owner_queue_pressure_20_generated_2_delivered_18_queue_dropped_zero_pending,Retained_custody_bound_remains_intentional_NWK_queue_policy_in_T3,2
late_inflight_delivery_accounting,source_layer_specific_counters,source_layer_specific_counters,Intentional MATLAB implementation difference,owner_R2025a_all_3_custody_regressions_passed_including_late_final_delivery,Event_log_retains_timeout_Final_statistics_count_actual_unique_delivery,2
controlled_receive_erasures,not_applicable,diagnostic_workflows,Intentional MATLAB implementation difference,owner_ACK_loss_5_erased_1_retry_and_DATA_loss_1_erased_1_retry_both_deliver_once,Diagnostic_loss_only_raw_PHY_success_precedes_erasure,2
NWK_relay_holdoff_metadata,legacy_field,retained_metadata_not_additional_MAC_queue_gate,Not yet implemented,Native_relay_holdoff_workflow_passed_T3_control_candidate_no_extra_MAC_gate,Source_metadata_only_preservation_remains_deferred_no_queue_gate_invented,3
routing_discovery_admission_control,ARL_source,ARL_control_and_retry_ownership,Unresolved,Owner_R2025a_289of289_and_all_eight_T3_scenarios_passed_74_source_hashes_match,Portable_T3_functional_gate_accepted_equivalent_network_differential_pending,3
security_envelopes,source_backed_subset,production_and_historical_profiles,Intentional MATLAB implementation difference,Owner_R2025a_six_control_profile_and_eleven_config_methods_passed,Cryptography_and_historical_MAC_security_tuple_emulation_unimplemented,3
full_scenario_metrics,aggregate_OV_only,6000s_current_run_with_residuals,Unresolved,Owner_R2025a_six_research_and_five_shared_exports_complete_seed128,6000s_and_multiseed_pending_synthetic_inputs_not_historical_campus_equivalence,4
MATLAB_wireless_clock,not_applicable,ns3_simulator_clock,Unresolved,NativeScheduler_with_real_wnet_Node_and_six_native_tests_prepared_including_T3_routed_equality,Native_clock_execution_pending_CSR_owns_RF,1
MATLAB_native_packet_transport,not_applicable,ns3_netdevice_transport,Not yet implemented,Separate_native_packet_probe_prepared_not_integrated_CSR_transport,Full_native_interference_engine_injection_deferred,1
battery_energy,excluded,not_baseline_requirement,Not applicable,user_scope,Defer,excluded
supervisory_layer,excluded,not_baseline_requirement,Not applicable,user_scope,Defer,excluded
BBN_routing,operational_hardware_does_not_use,not_baseline_requirement,Not applicable,user_scope,Defer,excluded
MAC_slot_range_and_guard,historical_slot_table_variants,current_fine_active_node_table_and_reduction_guard,Matches ns-3,owner_TestMacLayer_slotRangeAndGuardMatchSource_passed,Checked_table_and_guard_only_not_full_network_MAC_parity,2
HOP_third_ACK_admission_growth,legacy_source,PR50_growth_before_retransmitted_streak_reset,Matches ns-3,owner_TestHopLayer_thirdAckGrowsBeforeRetryStreakReset_passed,Checked_state_transition_only_other_policy_differences_remain_explicit,2
ARL_routing_wire_and_sections,routes_c_big_endian_stream,INFO_UPDATE_DELETE_REQUEST_FLUSH_700_byte_sections,Unresolved,Owner_R2025a_all_eleven_codec_methods_passed_native_stream_reference_passed,Exact_ARL_payload_tests_pass_network_control_airtime_differential_pending,3
ARL_route_selection_and_loss,ARL_routes_source,cost_hops_tie_retention_sequence_tombstones_deferred_candidates,Unresolved,Owner_R2025a_23_Routes_31_NwkLayer_and_10_network_scenario_methods_passed,Portable_routing_accepted_no_full_network_numerical_parity_claim,3
ARL_grouped_partial_ACK_ownership,grouped_source_controls,original_HOP_group_retained_then_NWK_residual_new_attempt,Unresolved,Owner_R2025a_27_HOP_control_and_31_NWK_methods_passed,Original_group_and_residual_retry_functional_tests_passed,3
NWK_no_route_custody,queue_scan_without_implicit_discovery,retain_source_custody_skip_blocked_destinations,Unresolved,Owner_R2025a_early_custody_threeofthree_delivered_queue_depth_three_then_zero,Retained_custody_bound_remains_explicit_portable_policy,3
NWK_ordinary_vs_leaf,role_and_forwarding_policy_separate,Ordinary0_separate_TransitForwardingEnabled,Unresolved,Owner_R2025a_leaf_policy_three_intentional_drops_zero_pending_and_component_tests_passed,Ordinary_can_forward_unless_transit_explicitly_disabled,3
NWK_policy_drop_after_HOP_receipt,layered_ACK_then_policy_check,inactive_or_leaf_policy_discard_after_HOP_ACK,Unresolved,Owner_R2025a_leaf_policy_scenario_method_and_export_passed_three_ACKs_three_drops,Protocol_receipt_and_application_policy_drop_accounted_separately,3
NWK_bounded_control_owners,source_control_retry_workflow,source_residual_owner_retries,Intentional MATLAB implementation difference,Owner_R2025a_backlog_restore_and_residual_retry_methods_passed_all_T3_rejections_zero,Three_NWK_cycles_and_64_entry_bounds_remain_documented_differences,3
NWK_snapshot_watchdog,source_snapshot_control,outbound_section_ACK_watchdog,Unresolved,Owner_R2025a_snapshot_section_ACK_watchdog_and_request_suppression_methods_passed,Expiry_retains_HOP_owners_and_neighbor_state_large_network_scaling_pending,3
NWK_SNMP_scan_coordinator,route_known_node_list_and_one_hop_SNMP,START_DONE_sequential_local_scans_watchdog,Unresolved,Owner_R2025a_all_31_NWK_methods_and_10_network_scenario_methods_passed,Portable_convergence_accepted_broader_transitive_scan_comparison_pending,3
NWK_control_airtime,legacy_control_layouts,ns3_modeled_Hello_Routes_SNMP_sizes,Unresolved,Owner_R2025a_six_exact_control_size_profile_methods_passed,No_group_target_overhead_no_crypto_bytes_full_airtime_differential_pending,3
NWK_positive_DSCP_queue,positive_push_head_zero_append,positive_push_head_zero_append,Unresolved,Owner_R2025a_positive_push_head_zero_append_method_passed,Historical_application_generator_equivalence_still_deferred,3
NWK_unretained_ACK_accounting,layer_specific_statistics,ACK_can_follow_duplicate_after_first_no_route_suppression,Intentional MATLAB implementation difference,T3_application_ledger_records_explicit_unretained_ACK_loss_reversible_on_late_reception,No_orphaned_application_pending_or_false_application_delivery,3
NWK_NoPath_control,source_reverse_path_policy,preserve_forward_routes_clear_only_matching_reverse_reporter,Unresolved,Owner_R2025a_targeted_NoPath_component_methods_passed,Full_network_parity_remains_separate,3
HOP_control_receive_order,validate_then_replay_delivery_exact_ACK,separate_DATA_control_receive_maps,Unresolved,Owner_R2025a_all_27_HOP_control_methods_passed,Validation_replay_and_type_specific_delivery_ACK_order_verified_no_crypto_claim,3
NWK_application_profile_selector,executable_bound_generators,current_and_two_legacy_no_DSCP_profiles,Intentional MATLAB implementation difference,Named_profiles_enforce_legacy_zero_DSCP_and_metadata,Directional_generation_gateway_cache_and_preallocation_attempt_gates_deferred,3
MAC_large_routing_concat_boundary,strict_rate_dependent_limit,oversized_head_can_remain_packing_blocked,Unresolved,Owner_R2025a_8kbps_blocked_and_128kbps_progress_methods_passed,Preserve_frozen_source_quirk_do_not_force_single_frame_progress,3
MAC_standalone_group_preamble,primary_destination_outside_concat,primary_destination_outside_concat,Unresolved,Owner_R2025a_standalone_group_primary_freshness_method_passed,Preserve_frozen_source_quirk,3
NWK_ordinary_snapshot_self_omission,INFO_FLUSH_omission_denotes_ordinary,clear_prior_reporter_capability_keep_direct_route,Unresolved,Owner_R2025a_INFO_FLUSH_omission_regression_passed,Prior_capability_cleared_without_losing_direct_route,3
NWK_HOP_feedback_wake,non_scheduling_NSdp_release_then_TIC,HOP_owns_postfeedback_TIC_wake,Unresolved,Owner_R2025a_routed_and_fixed_path_release_order_methods_passed,Non_scheduling_custody_release_and_HOP_TIC_wake_verified,3
MATLAB_neighbor_Boolean_validation,not_applicable,logical_and_numeric_zero_one_options,Unresolved,Owner_R2025a_20_Neighbors_and_11_config_methods_passed,Direct_Boolean_domain_fix_verified_portable_T3_accepted,3
MATLAB_ARL_zero_hop_path_shape,not_applicable,empty_route_path_no_wire_hops,Unresolved,Owner_R2025a_all_11_codec_methods_passed,Canonical_empty_path_verified_wire_bytes_unchanged,3
MATLAB_NWK_fixture_mask_shape,not_applicable,scalar_filter_per_control_log_entry,Unresolved,Owner_R2025a_all_31_NWK_methods_passed_in_final_289of289_run,All_three_mixed_mask_filter_sites_fixed_portable_T3_accepted,3
shared_scenario_import,csr_opnet_scenario_v1,current_send_only_fine_free_slot_production_pairwise16,Unresolved,Owner_R2025a_all20_import_tests_and_five_actual_shared_comparisons_pass,Strict_supported_subset_rejects_historical_and_dynamic_profiles,4
shared_application_differential,aggregate_only,app_send_and_nwk_delivery_traces,Matches ns-3,Five_actual_strict_comparisons_match15_generated_delivered_payload_DSCP_identities,Application_contract_only_timing_and_full_protocol_parity_unresolved,4
shared_fixed_rate_PHY_profiles,8_to_128_kbps,8_128_500_1000_kbps,Unresolved,Five_MATLAB_and_ns3_cases_deliver_threeofthree_each_500_1000_separate_extensions,Fixed_rate_power_and_SYNC_threshold_do_not_certify_feedback_adaptation,4
research_layouts_and_discovery,not_historical_campus,source_ARL_with_local_SNMP_scans,Unresolved,Owner_R2025a_six_default_research_exports_complete_and_all13_factory_tests_pass,Physical_three_path_Earth_closure_explicit_discovery_single_seed_light_load,4
research_recovery_blackout,not_measured_RF_outage,diagnostic_receive_erasure,Intentional MATLAB implementation difference,Owner_R2025a_5of5_delivered_mean68p919s_max135p940s_24_deactivations,Administrative_recovery_stress_not_stable_convergence_or_autonomous_rediscovery,4
research_trace_and_custody_accounting,layer_counters,current_source_trace_and_application_diagnostics,Unresolved,Owner_R2025a_all11_evidence_tests_pass_48207_protocol_and33919_PHY_research_rows_reconstructed,All11_new_cases_drain_with_complete_traces_controls_can_exhaust_retries,4
MATLAB_evidence_paths_and_empty_hashing,not_applicable,raw_byte_provenance,Unresolved,Owner_R2025a_333of333_pass_83_MATLAB_source_and291_artifact_hashes_verified,Initial_failure_preserved_corrected_runtime_gate_accepted,4
reference_runner_provenance,not_new_OPNET_execution,frozen_source_runner_with_preserved_CSR_engine_libraries,Unresolved,Five_fresh_runner_cases_and_eight_Python_contract_tests_passed,Standalone_runner_recompiled_libraries_hashed_no_full_engine_rebuild_or_38_workflow_claim,4
shared_latency_and_radio_counts,not_compared,current_source_traces,Unresolved,MATLAB_mean_latency_60p667_to104ms_shorter_percase_OTA_counts_differ,Preserve_measured_differences_exact_causal_attribution_and_protocol_parity_pending,4
research_control_retry_exhaustion,not_compared,source_retry_ownership,Unresolved,Hidden_and_recovery_each_one_terminal_NWK_control_failure_mesh11_residual_retries_no_terminal_failure,Data_delivers_and_owners_drain_bounded_acceptance_not_all_control_exchanges_successful,4
controlled_research_sweeps,not_claimed,reference_behavior_retained,Intentional MATLAB implementation difference,Owner_R2025a_367of367_tests_and_all18_cases_seeds128_129_130_passed_structural_gates,Controls_isolated_357_generated_336_delivered_21_retry_exhausted_no_app_pending,5
research_performance_reporting,not_claimed,source_counter_semantics,Unresolved,Owner_R2025a_all16_performance_tests_pass_actual18_case_outcomes_reconstructed,ResendQueueDepth_includes_control_false_DataDrained_at900s_is_conservative_not_pending_DATA,5
shared_latency_residual_attribution,not_claimed,source_slot_selection,Unresolved,T5_return_all5_application_comparisons_pass_retrospective15_final_envelopes_match,Timing_causality_and_full_protocol_parity_not_established,5
multiseed_and_longrun_gate,not_claimed,source_reference_pinned,Unresolved,Owner_R2025a_18_default_cases_over3seeds_complete,6000s_and_R2026a_native_still_pending_recovery180_300_deliver6of15_each,5
network_freshness_evidence,source_ProcessHello_and_qualified_NeighborCheck,current_ns3_486d9e01,Matches ns-3,T6_source_contract45of45_and_owner_R2025a_380of380_including13_outage_tests_pass,Qualified_control_liveness_contract_accepted_no_full_timing_parity,6
network_freshness_expiry_state,source_MakeNeighborInactive,current_ns3_486d9e01,Matches ns-3,T6_owner_R2025a_expiry_retry_and_postexpiry_admission_tests_pass_all18sweeps_complete,Quiet_expiry_preserves_key_retry_owner_and_failure_count_source_contract_scope,6
outage_DATA_retry_custody,ordinary_DATA_no_generic_link_failure,current_ns3_486d9e01,Matches ns-3,Source_audit_and_T6_traces_confirm_terminal_DATA_exhaustion_without_generic_link_failure,Shared_policy_preserved_automatic_requeue_or_route_invalidation_requires_explicit_extension,6
T6_outage_recovery_delivery_regression,not_claimed,Pinned_reference_delivers14of15_at60s_and6of15_at180_300s,Unresolved,T6_60s_delivers13of15_vsT5_15of15_other_group_delivery_totals_unchanged,Bounded_source_correction_accepted_performance_qualified_stale_route_retry_boundary_next,6
T6_stop_boundary_control_ownership,not_claimed,Global_terminal_ownership_not_exported,Unresolved,Three300s_cases_retain3NWKcontrols_and1HOPtarget_at900s_no_app_DATA_custody_pending,Preserve_false_drain_flags_eventual_control_drain_unobserved,6
historical_application_attempt_gates,executable_bound_br_app,discovery_topology_destination_local_NSdp_below16,Unresolved,T7_owner_R2025a_467of467_tests_all9flows_progress_full_attempt_admission_partitions_verified,Bounded_portable_profile_accepted_default_preserved_campus1610000_admission_trace_rows_explicitly_omitted_full_counters_complete,7
historical_MAC_slot_profiles,coarse_inclusive_modulo_and_fine_table_variants,named_source_selectors,Unresolved,T7_owner_R2025a_all16_historical_MAC_tests_pass_and_three_benchmarks_complete,Bounded_historical_selectors_accepted_current_default_and_source_endpoint_quirks_preserved_no_event_parity_claim,7
historical_bare_DATA_ACK_profiles,hash_bound_adb97c54_and_dd3f38e8_executables,bare_DATA_and_ACK_controls_remain_modeled,Unresolved,T7_owner_R2025a_all8_envelope_tests_pass_configured200_payload185_common192_OTA217,Bounded_size_profile_accepted_not_cryptography_or_full_historical_emulation,7
canonical_campus_6000_benchmark,original_blue_radio_campus_multihop_OV,fresh_trace_and_aggregate_exact_prior_publication_hashes,Unresolved,T7_owner_R2025a_12382_admitted_11727_delivered_vs_NS3_12417_11769_delivery_minus0p357pct,Portable_benchmark_accepted_seed128_OPNET_receive_rate_plus2p778pct_delay_minus8p697pct_no_numeric_parity,7
two_node_admission_and_three_node_contention,No_OPNET_counterpart_claimed,new_synthetic_cases_using_audited_campus_tuple,Unresolved,T7_owner_R2025a_11395_11385_and954_928_admitted_delivered_vs_NS3_11380_11364_and946_914,Separate_synthetic_diagnostics_accepted_delivery_plus0p185pct_plus1p532pct_contention_bucketdelay_minus9p791pct,7
common_benchmark_bucket_reporting,recovered_OV_sentinels,payload_plus7_half_open_bucket_grid,Unresolved,T7_owner_R2025a_all13_aggregate_tests_pass_all8series_reconstructed_for3cases_Python33_preparation_tests_pass,Missing_values_and_mean_population_definitions_preserved_no_posthoc_tolerance_or_automatic_parity,7
historical_reverse_ACK_link_control,legacy_link_calc,ApplyLinkControl_per_reverse_peer,Unresolved,Source_review_ACK_copies_received_rate_node_power_peer_S0_HOP_failure_feedback_partial_T7_residual_causality_unproven,Next_multiseed_small_diagnostics_and_reverse_ACK_decision_trace_before_protocol_correction_keep_PHY_ECC_fixed,7
historical_hidden_60000,gateway100m_others1m_149250000_attempts,dd3f38e8_bound_profile_input_recovered,Not yet implemented,Original_files_and_CSV_hash_preserved_in_T7_deferred_catalog,Per_node_antenna_height_and_execution_budget_support_required,7
T7_campus_perflow_and_bucket_residuals,Archived_OPNET_aggregates_only,Source_trace_perflow_progress,Unresolved,All6campus_flows_deliver_node8_383_vs462_minus17p10pct_94of100_receive_buckets_differ,Single_seed_aggregate_agreement_does_not_establish_perflow_or_statistical_equivalence,7
T7_finite_stop_data_ownership,Not_observed,648_16_32_unmatched_sends_global_drop_pending_not_certified,Unresolved,MATLAB_campus401_retrydrops_254pending_two_node10pending_contention26pending_balanced,No_drain_extension_under_original_window_HOP_NWK_controls_drained_MACfeedback_depth_unavailable,7
T7_shared_application_regression,Not_claimed,Five_retained_shared_application_fixtures,Matches ns-3,Owner_R2025a_all5_shared_cases_match15of15_applications_18sweeps_28retained_cases_match_T6_nonruntime_outcomes,T6_nonruntime_outcomes_unchanged_prior_outage_limits_preserved_shared_application_scope_only,7
T8_small_fixture_multiseed,No_OPNET_counterpart_claimed,Ten_actual_NS3_cases_seeds128_through132,Unresolved,Owner_R2025a_485of485_tests_ten_cases_seeds128_through132_source189_including108MAT_verified,MATLAB_mean_delivery_minus0p053pct_two_node_plus2p851pct_contention_five_seeds_descriptive_only,8
T8_reverse_ACK_observations,Not_rerun,61472_selections_12460_actual_feedback_members,Unresolved,Owner_61543_decisions_12438_actual_ACK_members_all_correlated_control_rate_overrides29_vsNS3139,Ordinary_DATA_radio_choices_agree_control_policy_still_differs_no_radio_correction_justified,8
T8_observer_nonperturbation,Not_claimed,Ten_on_off_pairs_two_pristine_controls_two_T7anchors_pass,Unresolved,Owner_two_onoff_controls_24CSV_pairs_and_fullStatsConfig_exact_T7anchors22CSV_exact,Passive_observation_validated_within_simulators_cross_simulator_event_parity_unestablished,8
T8_link_control_unexercised_states,Not_claimed,Known_peers_S0_minus103_HOPfailures_zero_direct_gateway,Unresolved,Owner_noDACK_missing_peerS0_and_HOPfailure_inputs_explicit_NS3_known_peers_S0minus103_failures0,No_universal_link_policy_equivalence_claim_unknown_peers_variable_S0_failures_and_relayDACK_deferred,8
T8_campus_residual_attribution,Archived_T7_comparison_retained,Small_fixture_evidence_not_a_campus_seed_sweep,Unresolved,No_new_campus_run_T7_node8_minus17p10pct_preserved_T8_contention_flow2_plus44p48pct_atseed129,17p10pct_was_a_single_campus_flow_observation_no_general_worst_case_bound,8
T8_canonical_input_row_scope,Canonical_run_only_scenario,Nonrun_label_ignored_by_pinned_loader,Matches ns-3,Repaired89b62e7_owner_import_and_all485_tests_pass_all10cases_complete,Forty_nonrun_metadata_cells_corrected_all_MATLAB_code_unchanged_from010793b_repair_accepted,8
T8_contention_seed129_feedback_service,Not_claimed,First_source2_DATA301p401104_first_ACK303p849_admission_resumes303p874,Unresolved,MATLAB_first_DATA302p519104_ACK302p549_admission302p574_117of157_delivery_gap_by320s,Inspect_early_contention_ACK_scheduling_and_capacity_release_preserve_PHY_ECC_cause_not_established,8
T9_cancellation_reservation,Legacy_PREP_TX_lifecycle_retained,CancelAcknowledgedFrames_and_CancelQueuedFramesByType_preserve_preparation,Matches ns-3,Owner_R2025a_101of101_contract_checkpoints_pass_five_early_queue_removals_preserve_PREP_and_reservation,Bounded_cancellation_semantics_match_c131_DATA78ms_earlier_no_delivery_count_improvement,9
T9_early_ACK_service,No_new_OPNET_trace,Native_c129_two_Track_intervals_and_slot28_countdown_before_ACK52_replaced_by54,Unresolved,Owner120835_service_rows_1373_cancellation_pairs_six_cases_verified_c129_ACK302p549_vsNS3303p849,Source2_delivery510_vs353_117of157_gap_in_first20s_initial_contention_and_receiver_occupancy_remain_open,9
T9_capacity_release_contract,No_OPNET_execution,HOP_capacity_then_NSdp_callback_then_resend_MAC_cleanup_then_coalesced_TIC_wake,Matches ns-3,Owner_and_native101_checkpoints_exact_capacity_then_NSdp_then_cleanup_then_coalesced_TIC_wake,Prescribed_subsystem_scope_only_observed_queued_HOP_wake27p7778ns_vs_native28ns_no_further_release_defect_shown,9
T9_six_case_before_after,Prior_T7_campus_result_retained,Five_contention_seeds_and_admission129_unchanged_inputs,Unresolved,Owner514of514_tests_six_cases_two_controls24CSV_exact_all_counts_unchanged_from_T8,Five_seed_delivery_plus2p851pct_c131_latency_sum_plus0p052s_campus_next_no_numerical_or_population_parity,9
T10_idle_RTS_boundary,No_new_OPNET_execution,Integer_TimeStep_strict_future_boundary,Matches ns-3,Owner_R2025a279of279_MAC_checkpoints_exact_including_strict_future_boundary_cases,Prescribed_MAC_timing_scope_only_no_stochastic_event_parity_claim,10
T10_slot_tick_order,No_new_OPNET_execution,Integer_ns_slot_epoch_FIFO_tie_order,Matches ns-3,Owner_R2025a_MAC_integer_ns_epoch_checkpoints_match_native_earlyTrack_TX0p416_lateTrack_TX0p403,Scoped_slot_FIFO_contract_passed_no_global_clock_PHY_or_RNG_change,10
T10_receiver_wake_acquisition,No_new_OPNET_execution,Real_source_BER_ECC_fixed_TX_1200m_stochastic_SYNC_disabled,Matches ns-3,Owner_R2025a154of154_receiver_checkpoints_exact_four_preamble_wake_cases,Prescribed_receiver_timing_scope_no_general_RF_or_population_equivalence,10
T10_campus_regression_milestone,Archived_T7_OPNET_aggregates_reused,Pinned_T7_campus6000_seed128_reference,Functional execution accepted,Owner_R2025a550tests_29retained_18sweeps_6diagnostics_2controls_and_campus6000_all_complete,Campus11825_vsNS311769_plus0p476pct_perflow_absolute_error314to496_numerical_parity_open,10
T10_initial_contention_RNG,Not_claimed,Seed129_nodes2_3_first_slots3_7,Unresolved,Five_contention_seeds_retain_T9_per_source_counts_c129_source2_510vs353_117of157_gap_in_first20s,Replay_identical_explicit_contention_choices_before_further_policy_changes,10
T10r_admission_retry_deadline,No_new_OPNET_execution,Native_Time_retry_deadlines_and_exponential_backoff,Functional correction accepted,Owner_R2025a550tests_and_full_retained_mesh_complete_original2M_event_limit_225source_hashes_match,Identical_absolute_deadline_comparison_and_scheduling_verified_no_new_native_mesh_parity_claim,10r
T10r_mesh_return,No_new_OPNET_execution,No_new_native_mesh_comparison,Focused and full MATLAB pass,Focused32tests_mesh15of15_reproduced_in_full_gate_with11CSV_byte_exact_config_and_statistics_exact,Full550test_gate_and_campus_completed_evidence_tranche10_portable_acceptance,10r
T10_campus_flow_distribution,Archived_OPNET_receive_rate1p901667pps,NS3campus11769delivered_seed128,Unresolved,MATLAB11825delivered_node4_minus16p95pct_node5_plus20p09pct_node8_minus9p74pct,Total_closeness_masks_redistribution_isolate_4to5to1_local_and_relay_service,10
T10_full_portable_acceptance,Archived_OPNET_aggregates_reused_no_rerun,Pinned486d9e01_534matched_contract_checkpoints,Structural acceptance,Owner_R2025a550of550_tests_534of534contracts225sources124MATLAB332refs_verified,Accepted_csr10r_archive_df3ad517_source_snapshot9be444b0_numerical_and_population_parity_open,10
T10_finite_stop_accounting,No_packet_trace_classification,12417admitted11769delivered648unclassified,Explicit accounting,12484generated11825delivered402dropped257pending_admission1710000attempts,100000admission_rows_retained1610000omitted_complete_counters_no_full_attempt_trace_claim,10
T11_raw_contention_replay,No_OPNET_execution,Native4x8s_raw_tapes_133draws_before_unchanged_modulo_probe,Focused MATLAB pass,Owner_R2025a52of52tests133of133draws_exact241sources78refs_verified,Four8s_cases_all1756event_timestamps_exact_two_counter_residuals_retained,11
T11_controlled_ACK_capacity_chain,No_OPNET_trace_claim,Native32of32delivered32releases_zero_pending_1756semantic_events,Focused service pass,Owner32of32delivered32releases_zero_pending56of56service_checks,Exact_observed_ACK_and_release_times_controlled_transport_no_fullNWK_RF_or_campus_claim,11
T11_disabled_native_hooks,No_OPNET_execution,255ACK_receiver_checkpoints_byte_equal_clean_vs_disabled_overlay,Native control pass,Fresh9module_build_and_two_narrow_native_test_seams_recorded,Native_fixture_instrumented_no_production_policy_or_PHY_ECC_change,11
T11_replay_return_integrity,Not_applicable,Frozen_reference_input_source_library_bindings,Owner return verified,Owner52MATLABtests_passed9artifact_hashes241sources78refs_verified,Strict_comparator_retains2counter_mismatches_no_tolerance_or_code_change,11
